Key,Description,English,Bulgarian,Chinese (Simplified),Chinese (Traditional),Czech,Danish,Dutch,Finnish,French,German,Hindi,Hungarian,Italian,Japanese,Korean,Norwegian,Polish,Portuguese (Brazil),Portuguese,Romanian,Russian,Slovak,Spanish,Swedish,Turkish,Ukrainian
dr/mods_extra,The list of extra mods.,Extra Mods:\n- {0},Допълнителни модификации:\n- {0},额外模组：\n- {0},額外模組：\n- {0},Extra modifikace:\n- {0},Ekstra mods:\n- {0},Extra aanpassingen:\n- {0},Lisämodit:\n- {0},Mods en trop :\n- {0},Zusätzliche Mods:\n- {0},अतिरिक्त मॉड:\n- {0},Extra modok:\n- {0},Mod Extra:\n- {0},追加の Mod:\n- {0},추가 모드:\n- {0},Ekstra modi:\n- {0},Dodatkowe mody:\n- {0},Modificações extras:\n- {0},Modificações extra:\n- {0},Moduri suplimentare:\n- {0},Дополнительные моды:\n- {0},Extra modifikácie:\n- {0},Modificaciones adicionales:\n- {0},Extra mods:\n- {0},Ekstra Modlar:\n- {0},Додаткові моди:\n- {0}
dr/unreachable,Host Unreachable error message,Host Unreachable,,无法找到房主,,,,,,Hôte injoignable,,,A házigazda elérhetetlen,,,,,,,,,,,,,,
dr/unknown,Unknown Host error message,Unknown Host,,房主未知,,,,,,Hôte inconnu,,,Ismeretlen gazda,,,,,,,,,,,,,,
dr/kicked,Player Kicked error message,Player Kicked,,玩家已被踢出,,,,,,Joueur éjecté,,,Játékos kirúgva,,,,,,,,,,,,,,
dr/rejected,Rejected! error message,Rejected!,,你已被拒绝加入服务器！,,,,,,Rejeté !,,,Elutasítva!,,,,,,,,,,,,,,
dr/shutdown,Server Shutting Down error message,Server Shutting Down,,服务器已经关闭,,,,,,Arrêt du serveur,,,Szerver leállás,,,,,,,,,,,,,,
dr/timeout,Server Timed out,Server Timed out,,服务器连接超时,,,,,,Le serveur n’a pas répondu à temps,,,Szerver időtúllépés,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Career Manager,,,,,,,,,,,,,,,,,,,,,,,,,,
carman/fees_host_only,Text shown when a client tries to manage fees.,Only the host can manage fees!,Само домакинът може да управлява таксите!,只有房东可以管理费用！,只有房東可以管理費用！,Poplatky může spravovat pouze hostitel!,Kun værten kan administrere gebyrer!,Alleen de host kan de kosten beheren!,Vain isäntä voi hallita maksuja!,Seul l'hôte peut gérer les frais !,Nur der Host kann Gebühren verwalten!,केवल मेज़बान ही फीस का प्रबंधन कर सकता है!,Csak a házigazda kezelheti a díjakat!,Solo l’Host può gestire gli addebiti!,料金を管理できるのはホストだけです。,호스트만이 수수료를 관리할 수 있습니다!,Bare verten kan administrere gebyrer!,Tylko gospodarz może zarządzać opłatami!,Somente o anfitrião pode gerenciar as taxas!,Só o anfitrião pode gerir as taxas!,Doar gazda poate gestiona taxele!,Только хозяин может управлять комиссией!,Poplatky môže spravovať iba hostiteľ!,¡Solo el anfitrión puede administrar las tarifas!,Endast värden kan hantera avgifter!,Ücretleri yalnızca ev sahibi yönetebilir!,Тільки господар може керувати оплатою!
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Player List,,,,,,,,,,,,,,,,,,,,,,,,,,
plist/title,The title of the player list.,Online Players,Онлайн играчи,在线玩家,線上玩家,Online hráči,Online spillere,Online spelers,Online-pelaajat,Joueurs en ligne,Verbundene Spieler,ऑनलाइन खिलाड़ी,Online játékosok,Giocatori Online,,온라인 플레이어,Online spillere,Gracze sieciowi,Jogadores on-line,Jogadores on-line,Jucători online,Онлайн-игроки,Online hráči,Jugadores en línea,Spelare online,Çevrimiçi Oyuncular,Онлайн гравці
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loading Info,,,,,,,,,,,,,,,,,,,,,,,,,,
linfo/wait_for_server,Text shown in the loading screen.,Waiting for server to load,Изчаква се зареждане на сървъра,等待服务器加载,等待伺服器加載,Čekání na načtení serveru,"Venter på, at serveren indlæses",Wachten tot de server is geladen,Odotetaan palvelimen latautumista,En attente du chargement du serveur,Warte auf das Laden des Servers,सर्वर लोड होने की प्रतीक्षा की जा रही है,Várakozás a szerver betöltésére,In attesa del caricamento del Server,サーバーがロードされるのを待っています,서버가 로드되기를 기다리는 중,Venter på at serveren skal lastes,Czekam na załadowanie serwera,Esperando o servidor carregar,sperando que o servidor carregue,Se așteaptă încărcarea serverului,Ожидание загрузки сервера,Čaká sa na načítanie servera,Esperando a que cargue el servidor...,Väntar på att servern ska laddas,Sunucunun yüklenmesi bekleniyor,Очікування завантаження сервера
linfo/sync_world_state,Text shown in the loading screen.,Syncing world state,Синхронизиране на световното състояние,同步世界状态,同步世界狀態,Synchronizace světového stavu,Synkroniserer verdensstaten,Het synchroniseren van de wereldstaat,Synkronoidaan maailmantila,Synchronisation des données du monde,Synchronisiere Daten,सिंक हो रही विश्व स्थिति,Szinkronizáló világállapot,Sincronizzazione dello stato del mondo,世界状態を同期しています,세계 상태 동기화 중,Synkroniserer verdensstaten,Synchronizacja stanu świata,Sincronizando o estado mundial,Sincronizando o estado mundial,Sincronizarea stării mondiale,Синхронизация состояния мира,Synchronizácia svetového štátu,Sincronizando estado global,Synkroniserar världsstaten,Dünya durumunu senkronize etme,Синхронізація стану світу
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chat,,,,,,,,,,,,,,,,,,,,,,,,,,
chat/placeholder,Chat input placeholder,Type a message and press Enter!,,"在此输入文字，按回车发送",,,,,,Tapez un message et appuyez sur Entrée !,,,Írjon be egy üzenetet és nyomja meg az Entert!,,,,,,,,,,,,,,
chat/help/available,Chat help info available commands,Available commands:,,可用命令：,,,,,,Commandes disponibles :,,,Elérhető parancsok:,,,,,,,,,,,,,,
chat/help/servermsg,Chat help send message as server,Send a message as the server (host only),,以服务器的身份发消息（仅限房主）,,,,,,Envoyer un message au nom du serveur (hôte uniquement),,,Üzenet küldése szerverként (csak gazdagép),,,,,,,,,,,,,,
chat/help/whispermsg,Chat help whisper to a player,Whisper to a player,,向一位玩家说悄悄话,,,,,,Chuchoter à un joueur,,,Suttogj egy játékosnak,,,,,,,,,,,,,,
chat/help/help,Chat help show help,Display this help message,,展示此帮助信息,,,,,,Afficher ce message d’aide,,,Jelenítse meg ezt a súgóüzenetet,,,,,,,,,,,,,,
chat/help/msg,Chat help <message> parameter e.g. /s <message>,message,,信息,,,,,,message,,,Üzenet,,,,,,,,,,,,,,
chat/help/playername,Chat help <player name> parameter e.g. /w <player name> <message>,player name,,玩家名字,,,,,,nom du joueur,,,Játékos neve,,,,,,,,,,,,,,
chat/help/setcrewname_host,Chat help set player crew,Set player's crew name (host only). Max 6 chars,Задайте екипно име на играч (само хост). Макс. 6 знака,设置玩家队伍名称（仅主机）。最多6字符,設置玩家隊伍名稱（僅主機）。最多6字元,Nastavit jméno posádky hráče (pouze host). Max 6 znaků,Indstil spillers mandskabsnavn (kun vært). Maks 6 tegn,Stel spelersnaam bemanning in (alleen host). Max 6 tekens,Aseta pelaajan miehistönimi (vain isäntä). Max 6 merkkiä,Définir le nom d'équipe du joueur (hôte uniquement). Max 6 caractères,Spieler-Crew-Namen festlegen (nur Host). Max. 6 Zeichen,खिलाड़ी का क्रू नाम सेट करें (केवल होस्ट)। अधिकतम 6 वर्ण,Játékos legénységnevének beállítása (csak host). Max 6 karakter,Imposta nome equipaggio giocatore (solo host). Max 6 caratteri,プレイヤーのクルー名を設定（ホストのみ）。最大6文字,플레이어 크루 이름 설정 (호스트 전용). 최대 6자,Angi spillerens mannskapsnavn (kun vert). Maks 6 tegn,Ustaw nazwę załogi gracza (tylko host). Maks. 6 znaków,Definir nome da tripulação do jogador (apenas anfitrião). Máx. 6 caracteres,Definir nome da tripulação do jogador (apenas anfitrião). Máx. 6 caracteres,Setează numele echipajului jucătorului (doar gazdă). Max 6 caractere,Установить имя экипажа игрока (только хост). Макс. 6 символов,Nastaviť meno posádky hráča (iba hostiteľ). Max 6 znakov,Establecer nombre de tripulación del jugador (solo anfitrión). Máx. 6 caracteres,Ange spelarens manskapets namn (endast värd). Max 6 tecken,Oyuncunun mürettebat adını ayarla (sadece sunucu). Maks 6 karakter,Встановити ім'я екіпажу гравця (лише хост). Макс. 6 символів
chat/help/setcrewname_client,Chat help set player crew,Set player's crew (client only). Max 6 chars,Задайте екипа на играч (само клиент). Макс. 6 знака,设置玩家队伍（仅客户端）。最多6字符,設置玩家隊伍（僅客戶端）。最多6字元,Nastavit posádku hráče (pouze klient). Max 6 znaků,Indstil spillers mandskab (kun klient). Maks 6 tegn,Stel spelersbemanning in (alleen client). Max 6 tekens,Aseta pelaajan miehistö (vain asiakasohjelma). Max 6 merkkiä,Définir l'équipe du joueur (client uniquement). Max 6 caractères,Spieler-Crew festlegen (nur Client). Max. 6 Zeichen,खिलाड़ी का क्रू सेट करें (केवल क्लाइंट)। अधिकतम 6 वर्ण,Játékos legénységének beállítása (csak kliens). Max 6 karakter,Imposta equipaggio giocatore (solo client). Max 6 caratteri,プレイヤーのクルーを設定（クライアントのみ）。最大6文字,플레이어 크루 설정 (클라이언트 전용). 최대 6자,Angi spillerens mannskap (kun klient). Maks 6 tegn,Ustaw załogę gracza (tylko klient). Maks. 6 znaków,Definir tripulação do jogador (apenas cliente). Máx. 6 caracteres,Definir tripulação do jogador (apenas cliente). Máx. 6 caracteres,Setează echipajul jucătorului (doar client). Max 6 caractere,Установить экипаж игрока (только клиент). Макс. 6 символов,Nastaviť posádku hráča (iba klient). Max 6 znakov,Establecer tripulación del jugador (solo cliente). Máx. 6 caracteres,Ange spelarens manskap (endast klient). Max 6 tecken,Oyuncunun mürettebatını ayarla (sadece istemci). Maks 6 karakter,Встановити екіпаж гравця (лише клієнт). Макс. 6 символів
chat/help/crewname,Chat help <crew name> parameter e.g. '/sc <player name> <crew name>',crew name,име на екип,队伍名称,隊伍名稱,jméno posádky,mandskabsnavn,bemanningsnaam,miehistön nimi,nom d'équipe,Crew-Name,क्रू का नाम,legénység neve,nome equipaggio,クルー名,크루 이름,mannskapsnavn,nazwa załogi,nome da tripulação,nome da tripulação,nume echipaj,имя экипажа,meno posádky,nombre de tripulación,manskapets namn,mürettebat adı,ім'я екіпажу
chat/whisper/not_found,Whisper error player not found 'player1 not found - you're whispering into the void!',{0} not found - you're whispering into the void!,,,,,,,,,,,,,,,,,,,,,,,,,
chat/kick/unable,Unable to kick player 'Unable to kick player1',Unable to kick {0},,,,,,,,,,,,,,,,,,,,,,,,,
chat/kick/kicked,Alert that a player has bee kicked 'player1 was kicked',{0} was kicked,,,,,,,,,,,,,,,,,,,,,,,,,
chat/setcrew/set_crew_disallowed,Clients not allowed to set their own crew,Players are not authorised to change crews,Играчите не са оторизирани да променят екипи,玩家无权更改队伍,玩家無權更改隊伍,Hráči nejsou oprávněni měnit posádky,Spillere har ikke tilladelse til at skifte mandskab,Spelers zijn niet gemachtigd om van bemanning te wisselen,Pelaajilla ei ole oikeutta vaihtaa miehistöä,Les joueurs ne sont pas autorisés à changer d'équipe,Spieler sind nicht berechtigt Crews zu wechseln,खिलाड़ियों को क्रू बदलने की अनुमति नहीं है,A játékosoknak nincs jogosultságuk legénységet váltani,I giocatori non sono autorizzati a cambiare equipaggio,プレイヤーはクルーを変更する権限がありません,플레이어는 크루를 변경할 권한이 없습니다,Spillere har ikke tillatelse til å bytte mannskap,Gracze nie mają uprawnień do zmiany załogi,Jogadores não têm autorização para trocar de tripulação,Jogadores não têm autorização para trocar de tripulação,Jucătorii nu au autorizația de a schimba echipajele,Игроки не имеют права менять экипажи,Hráči nie sú oprávnení meniť posádky,Los jugadores no están autorizados para cambiar de tripulación,Spelare har inte behörighet att byta manskap,Oyuncuların mürettebat değiştirme yetkisi yok,Гравці не мають прав змінювати екіпажі
chat/setcrew/player_not_found,Player not found when attempting to set a crew,Player '{0}' was not found,Играч '{0}' не беше намерен,未找到玩家 '{0}',未找到玩家 '{0}',Hráč '{0}' nebyl nalezen,Spiller '{0}' blev ikke fundet,Speler '{0}' is niet gevonden,Pelaajaa '{0}' ei löytynyt,Joueur '{0}' introuvable,Spieler '{0}' wurde nicht gefunden,खिलाड़ी '{0}' नहीं मिला,'{0}' játékos nem található,Giocatore '{0}' non trovato,プレイヤー '{0}' が見つかりません,플레이어 '{0}'을(를) 찾을 수 없습니다,Spiller '{0}' ble ikke funnet,Gracz '{0}' nie został znaleziony,Jogador '{0}' não foi encontrado,Jogador '{0}' não foi encontrado,Jucătorul '{0}' nu a fost găsit,Игрок '{0}' не найден,Hráč '{0}' nebol nájdený,Jugador '{0}' no encontrado,Spelare '{0}' hittades inte,Oyuncu '{0}' bulunamadı,Гравця '{0}' не знайдено
chat/setcrew/joined,Player joined a crew 'player1 joined crew HB',{0} joined crew {1},{0} се присъедини към екип {1},{0} 加入了队伍 {1},{0} 加入了隊伍 {1},{0} se připojil(a) k posádce {1},{0} sluttede sig til mandskab {1},{0} heeft zich aangesloten bij bemanning {1},{0} liittyi miehistöön {1},{0} a rejoint l'équipe {1},{0} ist Crew {1} beigetreten,{0} क्रू {1} में शामिल हुए,{0} csatlakozott a(z) {1} legénységhez,{0} si è unito all'equipaggio {1},{0} がクルー {1} に参加しました,{0}이(가) 크루 {1}에 합류했습니다,{0} ble med i mannskap {1},{0} dołączył(a) do załogi {1},{0} entrou na tripulação {1},{0} juntou-se à tripulação {1},{0} s-a alăturat echipajului {1},{0} присоединился к экипажу {1},{0} sa pripojil(a) k posádke {1},{0} se unió a la tripulación {1},{0} gick med i manskap {1},{0} mürettebat {1}'e katıldı,{0} приєднався до екіпажу {1}
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pause Menu,,,,,,,,,,,,,,,,,,,,,,,,,,
pm/disconnect_msg,Message when disconnecting from server (back to main menu),Disconnect and return to main menu?,,确定要断开连接并退回到主界面吗？,,,,,,Se déconnecter et revenir au menu principal ?,,,Leválasztás és visszatérés a főmenübe?,,,,,,,,,,,,,,
pm/quit_msg,Message when disconnecting from server (quit game),Disconnect and quit?,,确定要断开连接并直接退出吗？,,,,,,Se déconnecter et quitter ?,,,Lekapcsolja és kilép?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Permissions System,,,,,,,,,,,,,,,,,,,,,,,,,,
ps/insufficient,Message when player is missing permissions,Insufficient Permissions,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comms Radio,,,,,,,,,,,,,,,,,,,,,,,,,,
cr/in_use,Message when work train is in use,Locomotive In Use,,机车正在使用中,機車正在使用中,,,,,,Lok wird benutzt
,,,,,,,,,,,,,,,,,,,,,,,,,,,
